hit_id,ch0,ch1,value
1,209,617,0.0138317
1,210,617,0.0798866
1,209,618,0.211723
2,68,446,0.334087
3,58,954,0.0340049
3,58,956,0.00779792
3,60,951,0.0198969
3,58,955,0.0999644
3,59,952,0.0655761
3,60,952,0.0186967
3,59,953,0.0941926
3,59,954,0.0633718
4,181,1181,0.323907
5,256,590,0.296566
6,241,489,0.289269
7,103,779,0.304021
8,284,613,0.287819
9,232,1205,0.329157
10,91,1071,0.236652
10,91,1070,0.00364747
11,88,516,0.282262
12,314,236,0.0562005
12,313,237,0.141562
12,313,236,0.110228
13,1,748,0.28905
14,105,595,0.057594
14,105,594,0.238345
15,133,595,0.301006
16,179,489,0.346271
17,146,1199,0.26638
18,185,894,0.263555
19,1,1254,0.256336
19,1,1255,0.0806058
20,23,475,0.302139
21,246,686,0.030767
21,246,687,0.304183
22,35,571,0.311924
23,15,112,0.23571
23,15,111,0.0365567
24,124,448,0.0633722
24,124,447,0.204115
25,279,881,0.0892683
25,279,882,0.194511
26,223,582,0.327002
27,231,836,0.0564149
27,231,835,0.261243
28,47,1243,0.30644
28,47,1242,0.00625363
29,196,21,0.012648
29,196,20,0.2735
30,91,718,0.292496
31,218,889,0.0911438
31,219,889,0.058569
31,219,887,0.00839258
31,219,888,0.189881
32,152,22,0.273272
33,145,220,0.248332
34,283,138,0.0374855
34,283,137,0.304841
35,147,912,0.315341
36,92,1052,0.319252
37,170,1236,0.325509
38,58,585,0.257823
39,81,1013,0.0109085
39,81,1014,0.145821
39,82,1013,0.120686
40,302,907,0.306116
41,332,1022,0.0585474
41,332,1021,0.272571
42,141,877,0.267715
42,141,876,0.0457979
43,61,484,0.284152
44,170,615,0.193504
44,170,616,0.0794857
45,31,679,0.261901
46,187,726,0.341337
47,252,1057,0.199113
47,253,1057,0.0801382
48,81,611,0.0154202
48,81,612,0.271682
49,71,108,0.0129372
49,71,107,0.0897548
49,70,105,0.0317036
49,68,103,0.00117231
49,71,106,0.00742585
49,69,105,0.0586382
49,68,104,0.0399474
49,70,106,0.0885269
49,72,108,0.0590643
49,69,104,0.0607185
50,77,144,0.28462
50,77,143,0.0341639
51,61,892,0.00558626
51,61,891,0.273928
52,231,290,0.350849
53,107,935,0.159233
53,107,934,0.143627
54,2,20,0.317045
55,103,650,0.00759051
55,103,651,0.30406
56,91,764,0.301852
57,236,148,0.295226
57,236,147,0.0272067
58,248,218,0.340058
59,171,48,0.0335096
59,171,47,0.229387
60,149,718,0.281668
61,296,865,0.29588
62,169,965,0.204332
62,169,966,0.113551
63,117,849,0.34338
64,251,1041,0.208902
64,251,1042,0.0914417
65,56,1029,0.319694
66,208,845,0.251063
67,310,500,0.354725
68,187,924,0.296763
69,46,912,0.26621
70,294,799,0.238292
71,149,664,0.300717
72,331,637,0.334016
73,172,617,0.149837
73,172,618,0.14531
74,91,1189,0.307515
75,334,832,0.25487
76,295,1163,0.142528
76,295,1164,0.178078
77,170,45,0.111453
77,170,46,0.190732
78,327,719,0.270795
79,28,140,0.0243474
79,28,139,0.273336
80,74,1041,0.284946
81,148,436,0.115909
81,147,436,0.0516789
81,147,437,0.13706
82,9,281,0.162079
82,9,280,0.15523
83,186,546,0.0317818
83,186,547,0.298479
84,128,378,0.273345
85,246,833,0.0217238
85,246,834,0.294078
86,245,974,0.268963
87,33,211,0.0818846
87,33,210,0.219662
88,306,61,0.129418
88,306,60,0.151895
89,294,28,0.268619
90,124,1201,0.241459
91,272,751,0.0833679
91,272,752,0.19344
92,173,283,0.315249
93,84,719,0.286612
94,327,852,0.180708
94,327,853,0.110341
95,218,158,0.280401
96,42,435,0.0729499
96,42,437,0.103081
96,42,438,0.0644378
96,42,436,0.0992099
96,41,438,0.00766891
97,58,728,0.318036
98,169,777,0.253347
99,289,823,0.234915
99,289,824,0.0406413
100,128,371,0.327316
101,108,69,0.310079
102,324,147,0.270433
102,324,146,0.0152919
103,243,1057,0.146183
103,243,1056,0.127192
104,48,861,0.31236
105,286,577,0.332908
106,248,813,0.0130895
106,248,812,0.355829
107,49,1191,0.105951
107,50,1191,0.243413
108,315,1208,0.053148
108,315,1207,0.236503
109,132,743,0.325376
110,58,796,0.265917
111,239,578,0.307449
112,319,800,0.0303759
112,319,799,0.0231393
112,318,803,0.049067
112,318,800,0.0662343
112,318,802,0.0908
112,318,801,0.0954584
113,188,737,0.25241
113,188,738,0.0216222
114,105,992,0.272938
115,127,504,0.330308
116,269,520,0.306628
117,197,968,0.326726
118,92,835,0.0211404
118,92,834,0.304979
119,122,641,0.22086
119,122,642,0.0620193
120,12,138,0.0957994
120,11,139,0.0907784
120,10,140,0.0619236
120,12,139,0.0454465
120,11,140,0.0458681
120,13,138,0.0184061
121,196,1055,0.312494
122,155,1221,0.261747
123,297,854,0.274109
124,99,25,0.255292
125,239,630,0.279697
126,10,148,0.336214
127,44,847,0.262045
128,12,815,0.288086
129,138,100,0.296552
130,1,742,0.291103
131,115,146,0.304541
132,208,351,0.222073
132,209,351,0.0781906
133,143,477,0.294244
134,160,743,0.354489
135,331,739,0.322205
136,152,1214,0.217112
136,152,1213,0.125579
137,310,1068,0.101154
137,309,1068,0.0548556
137,309,1067,0.154683
138,190,787,0.296171
138,190,788,0.0668944
139,247,78,0.290594
140,296,229,0.293709
141,97,1225,0.0900153
141,97,1226,0.00239004
141,96,1226,0.252863
142,248,745,0.262847
143,274,799,0.311069
144,62,748,0.333839
145,147,725,0.0538528
145,147,724,0.277975
146,89,578,0.299312
147,292,1152,0.181999
147,293,1152,0.0768172
147,292,1151,0.0365934
148,310,492,0.313523
149,298,744,0.287779
150,7,1212,0.266149
151,51,859,0.3472
152,157,927,0.29983
153,212,466,0.317607
154,195,531,0.29492
155,10,811,0.157566
155,10,812,0.140265
156,100,885,0.303657
157,36,1262,0.314744
158,253,523,0.371789
159,208,498,0.325691
160,195,465,0.314269
161,168,1086,0.15425
161,168,1087,0.18447
162,162,731,0.274007
163,89,583,0.0374357
163,89,584,0.267031
164,42,578,0.277879
165,82,525,0.258133
166,81,225,0.311308
167,48,71,0.367616
168,248,542,0.243149
169,183,24,0.182184
169,183,23,0.106381
170,228,79,0.149794
170,228,80,0.16717
171,299,434,0.251955
172,191,859,0.000946522
172,191,860,0.283165
173,308,460,0.225743
173,308,459,0.0733317
174,188,50,0.285654
174,188,51,0.0465995
175,111,1127,0.0517296
175,111,1126,0.109533
175,112,1128,0.0470642
175,112,1127,0.0698117
175,111,1125,0.0836776
176,220,973,0.00475471
176,220,975,0.15975
176,220,974,0.158769
176,220,976,0.0521921
177,199,469,0.340125
178,192,146,0.351304
179,210,556,0.318628
180,272,703,0.32355
181,27,488,0.332126
182,322,572,0.0970636
182,322,571,0.242403
183,66,519,0.308075
184,127,496,0.277866
185,76,1168,0.180151
185,76,1167,0.093123
186,111,997,0.310739
187,236,1048,0.0783366
187,236,1049,0.27106
188,238,885,0.264901
189,287,947,0.264488
190,188,1076,0.269451
191,36,457,0.295534
192,235,1047,0.295715
193,8,518,0.287244
194,273,1247,0.256939
195,172,754,0.239629
196,19,453,0.102926
196,19,454,0.175721
197,71,742,0.258514
198,219,320,0.273277
199,28,81,0.223565
200,188,759,0.228634
201,146,516,0.230739
201,146,515,0.0569961
202,17,84,0.106031
202,18,84,0.155613
202,18,85,0.0390433
203,62,441,0.298829
203,62,442,0.00588497
204,298,1029,0.26455
205,178,67,0.313951
206,223,1181,0.279855
206,223,1182,0.0216872
207,313,242,0.313831
208,156,999,0.0164003
208,156,998,0.267537
209,68,468,0.11202
209,68,467,0.219449
210,10,374,0.0149853
210,9,372,0.0655877
210,10,372,0.0571228
210,10,373,0.183631
211,161,1089,0.246461
211,161,1090,0.0478748
212,138,265,0.318792
213,94,239,0.033872
213,95,240,0.165752
213,94,240,0.0892528
214,308,853,0.314738
215,151,737,0.291691
216,121,1163,0.327788
217,25,949,0.30136
218,264,1203,0.0119789
218,264,1202,0.25969
219,155,547,0.292316
220,133,710,0.274131
221,263,1185,0.33287
222,136,954,0.0112993
222,136,953,0.298974
223,126,582,0.357424
224,179,704,0.316153
225,302,442,0.249259
226,123,794,0.285673
227,53,706,0.243342
228,173,699,0.299058
229,28,862,0.0482161
229,27,861,0.107821
229,28,861,0.150557
230,239,1190,0.0488225
230,239,1189,0.0343026
230,241,1193,0.0754293
230,240,1190,0.0381325
230,240,1192,0.0507105
230,240,1191,0.0965813
230,241,1194,0.0660388
230,241,1192,0.023474
231,311,1242,0.137181
231,310,1242,0.163528
232,181,864,0.0119196
232,182,859,0.0576207
232,182,860,0.0742746
232,182,861,0.0859072
232,182,862,0.0929217
232,182,863,0.0856447
232,182,864,0.0122806
233,86,567,0.274215
234,299,47,0.300427
235,156,696,0.268595
236,211,388,0.197113
236,211,389,0.0907833
237,153,51,0.0347373
237,153,52,0.0405231
237,154,48,0.0832552
237,154,50,0.086619
237,154,51,0.0573023
237,154,49,0.112847
238,102,45,0.267705
239,105,748,0.283198
240,219,1112,0.157174
240,219,1111,0.130481
241,269,169,0.273683
242,212,860,0.140286
242,211,860,0.139512
243,194,1109,0.140471
243,194,1110,0.132566
244,125,884,0.141972
244,125,883,0.16548
245,316,26,0.263431
246,66,988,0.247248
247,212,952,0.318514
248,326,490,0.327837
249,258,449,0.344167
250,214,557,0.291949
251,17,557,0.250216
252,128,446,0.27336
253,105,980,0.293269
254,232,813,0.0902543
254,231,811,0.0170803
254,232,812,0.0163721
254,232,815,0.0740457
254,232,816,0.0411619
254,232,814,0.0750239
254,231,812,0.0773542
255,310,664,0.286518
256,240,697,0.116326
256,240,698,0.197063
257,296,713,0.236623
257,296,714,0.0642304
258,259,789,0.322436
259,326,983,0.22622
259,326,982,0.0839916
260,190,707,0.0395054
260,190,708,0.234345
261,139,694,0.0368584
261,139,693,0.231503
262,120,35,0.25619
262,120,36,0.0703117
263,168,256,0.332019
264,59,175,0.0252799
264,59,174,0.271526
265,113,555,0.311637
266,130,548,0.274454
267,231,743,0.0404412
267,231,742,0.274343
268,119,367,0.306594
269,173,67,0.255317
270,101,426,0.326685
271,195,664,0.312641
272,225,462,0.282478
273,330,944,0.0812864
273,330,943,0.202313
274,232,829,0.0370721
274,232,828,0.278284
275,214,761,0.32655
275,214,762,0.013708
276,127,714,0.0735839
276,127,713,0.234576
277,164,560,0.33714
278,316,1094,0.263356
279,246,919,0.332152
280,180,532,0.274032
281,25,790,0.309431
282,84,453,0.282953
283,22,696,0.0737099
283,22,697,0.200015
284,96,673,0.253676
285,112,1085,0.280919
286,137,657,0.276406
286,137,658,0.0487848
287,57,991,0.355914
288,75,720,0.279284
289,221,560,0.23458
290,186,501,0.282375
291,334,784,0.340382
292,94,875,0.320721
293,261,789,0.351276
293,261,788,0.0201803
294,127,713,0.219938
294,127,712,0.127092
295,21,554,0.287341
296,315,747,0.115765
296,315,746,0.163327
297,298,1219,0.0323367
297,298,1218,0.33407
298,144,503,0.29933
299,91,822,0.318841
299,91,821,0.00979205
300,91,1145,0.331734
301,40,952,0.222128
301,40,953,0.0614457
302,312,1040,0.250946
302,312,1041,0.0472374
303,244,170,0.092336
303,244,169,0.255953
304,276,608,0.0966141
304,276,607,0.228339
305,197,1119,0.233631
305,197,1118,0.0825842
306,249,1077,0.0294351
306,249,1076,0.268784
307,41,573,0.158919
307,41,572,0.152621
308,268,1126,0.0868569
308,268,1127,0.200522
309,316,450,0.284228
309,316,451,0.00838795
310,120,712,0.019807
310,121,713,0.107926
310,120,711,0.0150239
310,121,712,0.164685
311,28,781,0.220126
311,28,782,0.100057
312,216,621,0.200903
312,217,622,0.0513528
312,217,621,0.065079
313,218,1204,0.302594
314,275,691,0.130727
314,275,690,0.208064
315,138,637,0.311402
316,4,488,0.312715
317,29,1089,0.0497987
317,29,1090,0.289449
318,259,468,0.31993
318,259,469,0.0290475
319,185,452,0.27783
320,88,748,0.0280336
320,88,747,0.285753
321,28,551,0.274395
322,195,875,0.32423
323,191,985,0.327411
324,100,787,0.292543
325,109,776,0.261908
326,187,697,0.250187
327,157,698,0.264098
328,183,475,0.245453
329,210,1145,0.263732
330,153,922,0.328254
331,268,847,0.297846
332,240,103,0.280158
332,240,102,0.0527634
333,78,446,0.1009
333,78,447,0.208846
334,236,403,0.309386
335,218,879,0.306187
336,201,271,0.0552914
336,200,271,0.0655935
336,202,273,0.0137573
336,201,272,0.135923
336,202,272,0.0367012
337,326,13,0.172369
337,325,13,0.147778
338,212,306,0.255637
339,29,1089,0.28736
340,35,162,0.252103
341,13,1032,0.290475
342,162,813,0.105677
342,161,813,0.215546
343,137,566,0.255369
344,19,599,0.330808
345,309,784,0.0442042
345,308,784,0.114345
