hit_id,x,y,z,volume_id,layer_id,module_id
1,-64.4784,-3.64515,-1502.5,7,2,1
2,-65.3973,-10.4883,-1502.5,7,2,1
3,-57.6442,-0.148168,-1502.5,7,2,1
4,-90.221,-7.77764,-1502.5,7,2,1
5,-65.9708,-13.4926,-1502.5,7,2,1
6,-65.74,-13.4243,-1502.5,7,2,1
7,-96.7273,-14.0073,-1502.5,7,2,1
8,-99.3758,-2.57989,-1502.5,7,2,1
9,-82.2259,-0.828928,-1502.5,7,2,1
10,-90.0805,-0.243382,-1502.5,7,2,1
11,-94.3843,0.671764,-1502.5,7,2,1
12,-56.1735,-4.49618,-1502.5,7,2,1
13,-62.9154,-12.7506,-1502.5,7,2,1
14,-67.8151,-6.41549,-1502.5,7,2,1
15,-62.2427,-5.52554,-1502.5,7,2,1
16,-56.3141,0.157135,-1502.5,7,2,1
17,-91.6735,-9.39658,-1502.5,7,2,1
18,-67.6406,-5.04758,-1502.5,7,2,1
19,-100.232,-4.60332,-1502.5,7,2,1
20,-60.4014,1.18963,-1502.5,7,2,1
21,-55.0887,2.51053,-1502.5,7,2,1
22,-49.9735,0.605995,-1502.5,7,2,1
23,-59.7407,3.54874,-1502.5,7,2,1
24,-132.503,-13.7591,-1502,7,2,2
25,-146.215,0.272554,-1502,7,2,2
26,-144.071,-10.7902,-1502,7,2,2
27,-160.585,-12.9051,-1502,7,2,2
28,-104.326,-9.35313,-1502,7,2,2
29,-125.375,-3.97932,-1502,7,2,2
30,-138.651,-11.0902,-1502,7,2,2
31,-151.111,-2.55656,-1502,7,2,2
32,-109.751,-5.54959,-1502,7,2,2
33,-104.05,-9.39024,-1498,7,2,3
34,-132.146,-13.8142,-1498,7,2,3
35,-156.802,-23.4632,-1498,7,2,3
36,-128.673,-16.6113,-1498,7,2,3
37,-94.1282,-22.5725,-1498,7,2,4
38,-82.6591,-17.0937,-1498,7,2,4
39,-64.4816,-23.9908,-1498,7,2,4
40,-65.1817,-10.4295,-1498,7,2,4
41,-72.4828,-24.0606,-1498,7,2,4
42,-95.1304,-20.8077,-1498,7,2,4
43,-93.5346,-22.6356,-1498,7,2,4
44,-89.6187,-16.2963,-1498,7,2,4
45,-59.7436,-22.1848,-1498,7,2,4
46,-71.4582,-22.7862,-1498,7,2,4
47,-52.6935,-13.9618,-1498,7,2,4
48,-60.8472,-14.4914,-1498,7,2,4
49,-83.9784,-16.1763,-1498,7,2,4
50,-84.1353,-25.1612,-1498,7,2,4
51,-65.567,-13.3502,-1498,7,2,4
52,-67.5578,-24.5751,-1498,7,2,4
53,-48.3933,-6.51189,-1498,7,2,4
54,-71.8597,-17.7405,-1498,7,2,4
55,-45.032,-17.9627,-1498,7,2,4
56,-62.7111,-12.716,-1498,7,2,4
57,-93.9015,-28.0949,-1498,7,2,4
58,-52.5311,-19.9391,-1498,7,2,4
59,-62.0249,-22.3211,-1498,7,2,4
60,-98.0783,-19.6128,-1498,7,2,4
61,-82.7546,-27.2979,-1498,7,2,4
62,-68.2078,-22.1087,-1498,7,2,4
63,-65.7741,-13.4513,-1498,7,2,4
64,-53.7094,-14.3085,-1498,7,2,4
65,-104.791,-30.9387,-1502,7,2,5
66,-99.9647,-30.5741,-1502,7,2,5
67,-113.095,-33.7136,-1502,7,2,5
68,-119.188,-33.4078,-1502,7,2,5
69,-164.963,-39.4588,-1502,7,2,5
70,-133.269,-28.0316,-1502,7,2,5
71,-67.7342,-24.6198,-1502,7,2,6
72,-82.9489,-27.4042,-1502,7,2,6
73,-77.327,-32.5982,-1502,7,2,6
74,-87.6381,-40.9273,-1502,7,2,6
75,-59.9361,-22.2557,-1502,7,2,6
76,-74.7834,-31.9775,-1502,7,2,6
77,-52.6525,-19.9964,-1502,7,2,6
78,-64.6898,-24.0082,-1502,7,2,6
79,-73.6963,-32.8261,-1502,7,2,6
80,-91.2177,-32.7234,-1502,7,2,6
81,-72.6785,-24.1242,-1502,7,2,6
82,-71.6335,-22.8254,-1502,7,2,6
83,-54.3564,-25.6812,-1502,7,2,6
84,-53.8464,-14.3213,-1502,7,2,6
85,-88.59,-35.0986,-1502,7,2,6
86,-49.1011,-25.7774,-1502,7,2,6
87,-52.8208,-14.0047,-1502,7,2,6
88,-80.6078,-39.9644,-1502,7,2,6
89,-84.4912,-31.7773,-1502,7,2,6
90,-45.2717,-18.4545,-1502,7,2,6
91,-61.6076,-24.2469,-1502,7,2,6
92,-68.3877,-22.1845,-1502,7,2,6
93,-62.1663,-22.3677,-1502,7,2,6
94,-156.104,-53.4017,-1498,7,2,7
95,-104.522,-30.8927,-1498,7,2,7
96,-100.254,-41.3273,-1498,7,2,7
97,-118.861,-33.2728,-1498,7,2,7
98,-131.178,-44.8892,-1498,7,2,7
99,-112.79,-33.6637,-1498,7,2,7
100,-117.118,-44.6064,-1498,7,2,7
101,-114.767,-46.3496,-1498,7,2,7
102,-99.7067,-30.4916,-1498,7,2,7
103,-100.476,-47.3978,-1502,7,2,8
104,-109.453,-50.2141,-1502,7,2,8
105,-100.516,-41.4579,-1502,7,2,8
106,-118.731,-59.4483,-1502,7,2,8
107,-141.982,-68.8403,-1502,7,2,8
108,-115.089,-46.4714,-1502,7,2,8
109,-157.545,-71.9405,-1502,7,2,8
110,-140.28,-67.5422,-1502,7,2,8
111,-108.045,-54.3472,-1502,7,2,8
112,-136.49,-62.4797,-1502,7,2,8
113,-116.775,-49.8941,-1502,7,2,8
114,-112.483,-57.8371,-1502,7,2,8
115,-117.425,-44.7156,-1502,7,2,8
116,-55.4636,-38.1224,-1497.5,7,2,9
117,-61.674,-44.5669,-1497.5,7,2,9
118,-54.1659,-25.5988,-1497.5,7,2,9
119,-68.9804,-47.2851,-1497.5,7,2,9
120,-50.6255,-34.2193,-1497.5,7,2,9
121,-36.2682,-21.199,-1497.5,7,2,9
122,-49.5675,-32.4568,-1497.5,7,2,9
123,-67.5163,-50.2582,-1497.5,7,2,9
124,-45.0268,-33.8378,-1497.5,7,2,9
125,-71.2455,-45.096,-1497.5,7,2,9
126,-60.7471,-47.0483,-1497.5,7,2,9
127,-45.0194,-36.5894,-1497.5,7,2,9
128,-47.8953,-26.5551,-1497.5,7,2,9
129,-82.1069,-45.2427,-1497.5,7,2,9
130,-80.3864,-39.7902,-1497.5,7,2,9
131,-54.1394,-33.5579,-1497.5,7,2,9
132,-47.9669,-30.6549,-1497.5,7,2,9
133,-72.2039,-43.9241,-1497.5,7,2,9
134,-48.9619,-25.6938,-1497.5,7,2,9
135,-58.4368,-39.2993,-1497.5,7,2,9
136,-112.145,-57.7596,-1498,7,2,10
137,-109.536,-59.3226,-1498,7,2,10
138,-90.0998,-56.9674,-1498,7,2,10
139,-137.594,-74.6075,-1498,7,2,10
140,-148.17,-89.0263,-1498,7,2,10
141,-110.146,-61.494,-1498,7,2,10
