hit_id,particle_id,tx,ty,tz,tpx,tpy,tpz,weight
1,630506971488845824,-85.5976,1.34282,-1502.5,-0.245391,0.0310868,-4.35345,6.8201e-06
2,0,-95.4931,-6.13437,-1502.5,333933,-219381,-916712,     0
3,743096687295201280,-58.2361,3.69872,-1502.5,-0.483568,0.0477462,-12.4693,7.85529e-06
4,630511781852217344,-95.4015,-11.1453,-1502.5,-0.283922,-0.00266903,-4.38778,8.42612e-06
5,468384669168041984,-89.5629,-8.5528,-1502.5,-0.23521,0.0023028,-3.86806,8.42612e-06
6,45047334987366400,-81.3473,-7.72932,-1502.5,-0.375474,-0.0109265,-7.0783,7.85529e-06
7,756621504950566912,-58.3707,-7.02767,-1502.5,-0.424416,-0.0321999,-10.8289,9.16891e-06
8,684549411103047680,-68.7199,-11.1643,-1502.5,-0.504419,-0.103669,-11.0947,7.46202e-06
9,103586708439695360,-93.0962,-7.20122,-1502.5,-0.31879,0.00516161,-5.06329,8.42612e-06
10,616993355108188160,-57.2436,-11.0802,-1502.5,-1.66611,-0.303671,-43.4721,2.44454e-05
11,247702996027179008,-30.7861,1.8583,-1502.5,0.467866,0.0116992,-10.6223,6.40243e-06
12,630506559171985408,-91.1313,-13.8026,-1502.5,-0.274836,-0.0688442,-4.66484,6.8201e-06
13,576460821022900224,-79.3211,-13.5042,-1502.5,-1.25364,-0.23966,-23.9249,1.53037e-05
14,0,-69.2616,2.74375,-1502.5,278554,270134,-921648,     0
15,364796174021951488,-58.0482,-2.22881,-1502.5,-0.229367,-0.0311917,-5.98886,8.42612e-06
16,756616969465102336,-58.8921,-7.43615,-1502.5,-1.82899,-0.251187,-46.9575,2.65895e-05
17,391821688796348416,-94.6186,-14.3711,-1502.5,-1.09637,-0.139558,-17.4505,1.42898e-05
18,743096549856247808,-93.7803,-12.534,-1502.5,-0.795258,-0.0763609,-12.6251,1.23494e-05
19,112594869767110656,-85.8241,-12.9615,-1502.5,-0.649787,-0.124484,-11.6236,8.7384e-06
20,261210977410744320,-59.6164,-3.53872,-1502.5,-0.681563,-0.0212124,-17.1412,1.01259e-05
21,315260288972619776,-55.3699,-4.02323,-1502.5,-0.21817,0.00197069,-5.73832,9.16891e-06
22,481886259640270848,-69.4404,-4.82938,-1502.5,-0.683429,-0.0216873,-14.607,9.34298e-06
23,364796311460904960,-85.4907,-10.9377,-1502.5,-0.582584,-0.101165,-10.3682,8.40202e-06
24,517923371715919872,-158.284,-15.5245, -1502,-0.184196,0.0233598,-1.74845,5.74273e-06
25,0,-173.064,-14.1855, -1502,-23764.5,-19899.1,-999520,     0
26,153132008057339904,-162.157,0.257584, -1502,-0.176477,0.0438641,-1.63234,5.67327e-06
27,328772805841649664,-132.335,-6.40133, -1502,-0.166819,0.0362164,-1.85898,6.98248e-06
28,207167438284914688,-175.09,-13.1627, -1502,-0.31169,0.0295078,-2.60015,3.02574e-06
29,229697668488626176,-108.216,-17.6412, -1498,-0.315669,-0.00829587,-3.5516,7.94639e-06
30,189181214760894464,-116.868,-19.9749, -1498,-0.185712,0.00951153,-2.15139,5.74508e-06
31,571965948769075200,-104.149,-19.8785, -1498,-0.280561,-0.0226284,-3.97654,7.40477e-06
